NewsID,AvgEigenvectorCentrality
1,0.006183577762319234
2,0.003662661685295157
3,0.00269222924400455
4,0.0022285738871314622
5,0.0032634535530954344
6,0.0016031130850752192
7,0.0019522375814953043
8,0.002579709642301891
9,0.002579709642301891
10,0.0020934494026275947
11,0.003162525371157944
12,0.0020209563883657766
13,0.0037865577753962085
14,0.002717095221607821
15,0.002414162558536094
16,0.0020810849765190076
17,0.003514960673603071
18,0.0016896184512652475
19,0.0018117837416233324
20,0.0006136081305290901
21,0.002034631745359775
22,0.0010922306764991972
23,0.001860689773161234
24,0.0013446471104063317
25,0.0006555967593789299
26,0.0033575267203542177
27,0.0004272733973352842
28,0.0007219233709030141
29,0.0021159502106204964
30,0.0032533599496508475
31,0.0034744021357376027
32,0.0004508026530827416
33,0.0010335606495538575
34,0.0026637269705597146
35,0.0038952284744921692
36,0.0025123936896249126
37,0.00257438646618122
38,0.0007785712669652514
39,0.0016737512880696344
40,0.004577770923163508
41,0.004383569384462621
42,0.0019627073864116754
43,0.0017989857769765008
44,0.0016505589924394408
45,0.0012057250726863517
46,0.0025356095496028414
47,0.003383115718896955
48,0.0021201403692425306
49,0.0012048272843657654
50,0.002358781202620447
51,0.0025610112097860798
52,0.0016375966668129183
53,0.002928968611675471
54,0.0035547311612877217
55,0.0025986711606907397
56,0.0016864235883331466
57,0.003318588782406882
58,0.0010867324783580272
59,0.002248052448916234
60,0.002777495551662015
61,0.0020369872581456282
62,0.008246591669482174
63,0.0015493950791759155
64,0.0017192324225976888
65,0.003215829989825523
66,0.000994630385165095
67,0.0015151728369410251
68,0.002128946294546738
69,0.0019167133925728328
70,0.0024207418185269807
71,0.0042375398059169254
72,0.0018449167125424903
73,0.003003821140659532
74,0.0014438311776263568
75,0.003396954835672213
76,0.002556553209855106
77,0.0006023320777096815
78,0.0018672572470240733
79,0.002794220650098386
80,0.0015094429306505026
81,0.0004666641167741777
82,0.0040564176881909405
83,0.0018946418115465486
84,0.0028615706589197555
85,0.0032129375142719223
86,0.0015785493067758758
87,0.0018308602789963544
88,0.0031039107262833153
89,0.0025749466987451206
90,0.0007893455885397673
91,0.0009763644713500627
92,0.0023602375899288985
93,0.0016806756533863357
94,0.0024612867041646593
95,0.0020208567916838106
96,0.007068759004105909
97,0.0018635935390608892
98,0.0018816932274111993
99,0.0022252649405639204
100,0.0021824735512062906
101,0.0005821216613163684
102,0.0016346730151469314
103,0.00034497896257663213
104,0.0019531957200873353
105,0.0013021782661184432
